3,009.23
3,010.15
1,011.08
3,012.00
6,012.92
3,013.85
6,014.77
3,015.69
1,016.62
3,017.54
3,018.46
3,019.38
1,020.31
1,021.23
2,022.15
2,023.08
1,024.00
3,024.46
2,024.92
3,025.38
1,026.31
3,026.77
3,027.23
1,028.15
3,028.62
3,029.08
2,030.00
3,030.46
3,030.92
1,031.27
3,031.85
3,032.31
6,032.77
1,033.69
2,034.15
6,034.62
3,035.54
1,036.00
2,036.46
2,036.92
1,037.38
3,037.85
3,038.31
5,038.77
5,042.46
2,044.31
1,046.15
3,046.62
3,047.08
3,047.54
2,048.00
3,048.46
3,048.92
3,049.38
2,049.85
3,050.31
3,050.77
3,051.23
1,051.69
3,052.15
3,052.62
6,053.54
6,054.46
3,055.38
6,055.85
3,056.77
1,057.23
3,057.69
3,058.15
3,058.62
5,059.08
1,061.15
2,061.38
3,061.85
3,062.31
6,062.77
3,063.69
1,064.15
2,064.62
1,065.08
2,065.31
3,065.54
5,066.00
6,066.46
3,068.31
1,068.77
2,069.23
1,069.69
2,069.92
3,070.38
3,070.61
6,071.08
6,072.00
3,072.92
3,073.38
5,073.85
6,075.69
6,082.55
2,084.15
6,085.75
1,087.35
6,088.95
3,089.75
3,090.35
1,092.15
2,092.51
3,093.75
6,095.35
3,096.15
3,096.46
1,096.75
6,098.55
3,099.38
3,099.69
1,100.05
3,100.95
6,101.75
3,102.55
3,103.35
3,104.15
1,104.95
3,105.75
6,106.55
3,107.35
5,108.15
6,114.75
2,121.85
3,122.82
1,123.75
3,125.59
3,127.44
3,128.36
5,129.28
5,132.98
6,134.82
1,136.67
3,137.13
3,137.59
2,138.05
3,138.28
3,138.52
1,138.98
2,139.44
3,139.90
3,140.13
6,140.36
3,140.82
1,141.28
2,141.75
3,141.98
1,142.21
1,142.67
2,143.13
3,143.59
6,144.05
1,144.98
3,145.44
2,146.13
6,146.36
3,147.28
6,147.75
3,148.21
3,148.67
1,149.13
3,149.59
6,150.05
1,150.52
2,150.75
1,150.98
2,151.44
1,151.90
2,152.36
1,152.82
2,153.28
1,153.75
2,154.21
1,154.67
2,155.13
1,155.59
2,156.05
1,156.52
2,156.98
1,157.44
2,157.90
1,158.36
5,158.82
6,159.28
3,160.21
6,160.67
3,161.59
6,162.05
2,162.98
3,163.44
3,163.90
5,164.36
